"row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
"107",5,13,"Nikola Jokic","DEN","90 - 100","10",2
"108",5,3,"Mason Plumlee","POR","92 - 100","8",2
"109",4,27,"Al-Farouq Aminu","POR","93 - 100","7",1
"110",3,12,"Danilo Gallinari","DEN","93 - 102","9",2
"111",2,29,"CJ McCollum","POR","95 - 102","7",2
"112",2,6,"Will Barton","DEN","95 - 103","8",1
"113",2,6,"Will Barton","DEN","95 - 104","9",1
"114",1,26,"Maurice Harkless","POR","96 - 104","8",1
"115",0,47,"Damian Lillard","POR","99 - 104","5",3
"116",0,15,"CJ McCollum","POR","101 - 104","3",2
"117",0,15,"CJ McCollum","POR","102 - 104","2",1
"118",0,2,"Damian Lillard","POR","104 - 104","0",2
"119",-8,26,"Nikola Jokic","DEN","104 - 106","2",2
"120",-8,9,"CJ McCollum","POR","107 - 106","-1",3
"121",-9,51,"Nikola Jokic","DEN","107 - 109","2",3
"122",-9,25,"CJ McCollum","POR","109 - 109","0",2
"123",-10,58,"Emmanuel Mudiay","DEN","109 - 110","1",1
"124",-10,58,"Emmanuel Mudiay","DEN","109 - 111","2",1
"125",-11,16,"Danilo Gallinari","DEN","109 - 113","4",2
"126",-11,2,"Mason Plumlee","POR","110 - 113","3",1
"127",-11,2,"Mason Plumlee","POR","111 - 113","2",1
"128",-12,34,"CJ McCollum","POR","113 - 113","0",2
"129",-12,0,"Damian Lillard","POR","115 - 113","-2",2
