"row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
"98",2,46,"Dario Saric","PHI","104 - 98","-6",3
"99",2,34,"Jeff Teague","IND","104 - 100","-4",2
"100",1,35,"Dario Saric","PHI","106 - 100","-6",2
"101",1,29,"Jeff Teague","IND","106 - 101","-5",1
"102",1,29,"Jeff Teague","IND","106 - 102","-4",1
"103",1,2,"Jeff Teague","IND","106 - 105","-1",3
"104",0,30,"Jeff Teague","IND","106 - 107","1",2
"105",0,6,"Gerald Henderson","PHI","109 - 107","-2",3
"106",0,3,"Paul George","IND","109 - 109","0",2
"107",4,40,"Dario Saric","PHI","111 - 109","-2",2
"108",4,19,"Paul George","IND","111 - 112","1",3
"109",3,13,"Myles Turner","IND","111 - 114","3",2
"110",3,13,"Myles Turner","IND","111 - 115","4",1
"111",1,21,"Paul George","IND","111 - 117","6",2
"112",0,58,"Dario Saric","PHI","112 - 117","5",1
"113",0,58,"Dario Saric","PHI","113 - 117","4",1
"114",0,37,"Paul George","IND","113 - 119","6",2
"115",0,28,"Robert Covington","PHI","114 - 119","5",1
"116",0,28,"Robert Covington","PHI","115 - 119","4",1
"117",0,23,"Jeff Teague","IND","115 - 120","5",1
"118",0,9,"Jeff Teague","IND","115 - 121","6",1
"119",0,9,"Jeff Teague","IND","115 - 122","7",1
